review_id,product_id,aspect,opinion,phrase,sentiment
4715,110,quality,sound,sound quality,positive
119106,585,sound,great,great sound,positive
119169,585,connect,automatically,automatically connect,positive
119169,585,v51,bluetooth,bluetooth v51,positive
119862,589,products,awesome,awesome products,positive
119862,589,product,well,well product,positive
4124,108,battery,awesome,awesome battery,positive
4015,108,challenge,greater,greater challenge,neutral
4015,108,speaker,best,best speaker,positive
4015,108,price,surprising,surprising price,positive
4015,108,speaker,portrnic,portrnic speaker,neutral
4015,108,range,high,high range,neutral
31991,261,product,good,good product,positive
32168,261,product,nice,nice product,positive
138959,676,product,good,good product,positive
73653,468,practice,well,well practice,positive
73653,468,faster,dirty,dirty faster,negative
73653,468,ball,nice,nice ball,positive
75230,468,product,super,super product,positive
73614,468,football,nice,nice football,positive
73614,468,son,old,old son,neutral
73614,468,year,old,old year,neutral
74843,468,ball,fantastic,fantastic ball,positive
75212,468,football,nice,nice football,positive
74089,468,packaging,neat,neat packaging,neutral
75195,468,product,nice,nice product,positive
170700,898,products,nice,nice products,positive
170263,894,water,nova,nova water,neutral
116787,582,experience,no laggy,no laggy experience,neutral
116787,582,pros 1features,awesome,awesome pros 1features,positive
116787,582,notification,fastly,fastly notification,neutral
3591,107,product,dull,dull product,negative
3591,107,review,seriously,seriously review,neutral
3591,107,quality,built,built quality,positive
3591,107,decimate,destroy,destroy decimate,negative
3591,107,sound,not proper,not proper sound,negative
3591,107,type,rubbish,rubbish type,negative
3720,107,pricebattery,best,best pricebattery,positive
3720,107,productvalue,great,great productvalue,positive
3213,106,sound vocals,crysp,crysp sound vocals,neutral
3213,106,volume55 bass,good455,good455 volume55 bass,positive
3213,106,quality,great55,great55 quality,positive
3213,106,povi,literally,literally povi,negative
3213,106,gamers,pro,pro gamers,positive
3213,106,music,oneplus,oneplus music,neutral
3213,106,headphones,great55,great55 headphones,positive
3213,106,product,great,great product,positive
3213,106,battery,good455,good455 battery,positive
3213,106,good455 battery backup,great55,great55 good455 battery backup,positive
26855,237,product,awesome,awesome product,positive
176882,928,noise,low,low noise,negative
176882,928,vibrationover,no,no vibrationover,negative
176882,928,quality,good,good quality,positive
176882,928,products,good,good products,positive
176882,928,product,full,full product,positive
176944,928,machine,happy,happy machine,positive
24112,225,machine,useful,useful machine,positive
24112,225,mixer,good,good mixer,positive
123846,599,product,worst,worst product,negative
123846,599,effect,sound,sound effect,neutral
123722,599,run,smoothly,smoothly run,positive
123722,599,product,good,good product,positive
123722,599,run,cant,cant run,neutral
123818,599,sound,nice,nice sound,positive
124553,599,music,nice,nice music,positive
95881,532,product,nice,nice product,positive
95679,532,verry,good,good verry,neutral
95814,532,drain,not,not drain,negative
95814,532,phone,good,good phone,positive
26343,233,product,good,good product,positive
52404,396,pocket4,small,small pocket4,neutral
52540,397,quality,good,good quality,positive
52540,397,price,decent,decent price,neutral
52540,397,pockets,zipper,zipper pockets,neutral
52627,397,product,good,good product,positive
53684,398,super,best,best super,positive
53018,398,product,jerseyif,jerseyif product,neutral
53018,398,u,cloth,cloth u,neutral
53378,398,protect,nice,nice protect,positive
57825,408,thanks,nice,nice thanks,positive
52397,395,product,good,good product,positive
85647,502,product,nice,nice product,positive
17688,188,product,nice,nice product,positive
17807,188,product,good,good product,positive
17691,188,iam,happy,happy iam,positive
17357,188,product,nice,nice product,positive
16846,188,working,exactly,exactly working,positive
16846,188,delivered,safely,safely delivered,positive
87035,504,product quality,poor,poor product quality,negative
87322,504,weight,lite,lite weight,neutral
86812,504,product,nice,nice product,positive
146841,726,book,best,best book,positive
146841,726,geography,indian,indian geography,neutral
146841,726,exam,competitive,competitive exam,positive
44731,351,front,quite,quite front,neutral
134366,627,product,good,good product,positive
132937,623,product,nice,nice product,positive
196358,1045,sailing,smooth,smooth sailing,positive
196358,1045,picture quality,great,great picture quality,positive
196358,1045,area,kitchen,kitchen area,neutral
196358,1045,job,great,great job,positive
148403,747,product,good,good product,positive
144715,713,material,not,not material,negative
144715,713,experience,bad,bad experience,negative
144715,713,size,bad,bad size,negative
144715,713,quality,bad,bad quality,negative
144715,713,delivery,late,late delivery,neutral
145162,713,color,nice,nice color,positive
145162,713,quality,good,good quality,positive
145162,713,warm,comfortable,comfortable warm,positive
145162,713,blanky,nice,nice blanky,neutral
145549,713,item,cheap,cheap item,negative
145549,713,amount,good,good amount,positive
145549,713,class,third,third class,neutral
171745,905,product,nice,nice product,positive
81916,491,4tablets,free,free 4tablets,neutral
81916,491,everything,good,good everything,positive
142693,706,prodect,nice,nice prodect,positive
142645,706,product,useful,useful product,positive
149921,760,quality,low,low quality,neutral
105245,550,thermostate,freezerthe,freezerthe thermostate,neutral
105245,550,refrigerator,bad,bad refrigerator,negative
105245,550,pooblem,still,still pooblem,neutral
105245,550,wastes,persist,persist wastes,negative
194128,1024,party,third,third party,neutral
194128,1024,warranty,extended,extended warranty,neutral
